modeoflearning,edlevel,yearscode,yearscodepro,devtype,languagehaveworkedwith,databasehaveworkedwith,platformhaveworkedwith,webframehaveworkedwith,newcollabtoolshaveworkedwith,opsyspersonal_use,opsysprofessionaluse,workexpyears,industry
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,12,6,Research  Development role,CDartPythonSQLTypeScript,Cosmos DBMicrosoft SQL ServerPostgreSQLRedisSQLite,Microsoft AzureVMware,ASPNETASPNET COREBlazorNodejsReact,Jupyter NotebookJupyterLabNotepadRiderVisual StudioVisual Studio Code,UbuntuWindowsWindows Subsystem for Linux WSL,UbuntuWindowsWindows Subsystem for Linux WSL,5,Software Development
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,13,11,Developer frontend,DartHTMLCSSJavaScriptPHPTypeScript,ElasticsearchMariaDBMySQLRedis,HetznerManaged Hosting,NodejsNuxtjsVuejsWordPress,Android StudioPhpStormSublime TextVisual Studio Code,MacOS,MacOS,11,Software Development
Hybrid some remote some inperson,Secondary school eg American high school German Realschule or Gymnasium etc,14,9,Other please specify,PHPPythonSQL,BigQueryClickhouseMariaDBMySQLRedis,Amazon Web Services AWSDigital OceanGoogle CloudOVH,CodeIgniterExpressjQueryLaravelNuxtjsSymfonyVuejs,PhpStormVisual Studio Code,MacOSWindows,MacOS,9,Software Development
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,6,1,Data scientist or machine learning specialist,BashShell all shellsCCJavaScriptMATLABPHPPythonScalaTypeScript,MySQLPostgreSQLSQLite,Unknown,AngularJSFastAPI,IntelliJ IDEAJupyter NotebookJupyterLabVisual Studio Code,WindowsWindows Subsystem for Linux WSL,MacOS,1,Software Development
Remote,Bachelors degree BA BS BEng etc,12,7,Developer fullstack,HTMLCSSJavaScriptSQL,PostgreSQL,Amazon Web Services AWSGoogle CloudNetlify,ExpressNodejsReact,Visual Studio Code,MacOS,MacOS,8,Software Development
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,10,-1,Unknown,CJavaJavaScriptKotlinPython,ElasticsearchMicrosoft AccessPostgreSQL,Unknown,Svelte,IntelliJ IDEAVisual StudioVisual Studio Code,Windows,Windows,-1,Unknown
Unknown,Bachelors degree BA BS BEng etc,10,-1,Developer fullstack,BashShell all shellsCCCHTMLCSSJavaJavaScriptPythonRustSQL,Microsoft AccessMicrosoft SQL ServerMySQLOracleRedisSQLiteTiDB,Amazon Web Services AWSMicrosoft AzureOpenStackOracle Cloud Infrastructure OCI,ASPNET,Android StudioCLionCodeBlocksEclipseIntelliJ IDEAIPythonJupyter NotebookJupyterLabNotepadPyCharmQt CreatorVimVisual StudioVisual Studio CodeXcode,AndroidChromeOSDebianiOSMacOSRed HatUbuntuWindows,Unknown,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,20,20,Developer fullstack,ElixirPythonSQLTypeScript,PostgreSQLRedis,Amazon Web Services AWS,FastAPIReact,VimVisual Studio Code,MacOS,MacOS,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,26,20,Developer fullstack,HTMLCSSJavaScriptPHPRubySQL,MariaDBMySQL,Unknown,Ruby on Rails,RubyMineSublime Text,MacOS,MacOS,25,Computer Systems Design and Services
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,1,-1,Student,Unknown,Unknown,Unknown,Unknown,NeovimVisual Studio Code,Other Linuxbased,Other Linuxbased,-1,Unknown
